,coords,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,distance,edge_length_ratio,is_planar,mean_edge_length,mean_planar_segment_length,name,network_type,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
0,"(37.81457038291894, -122.25529153926769)",205,251,291,805,0.8839847127859545,False,117.96546722043148,104.27966965951404,"00_Oakland, California, USA",drive,300,1.224390243902439,1.4195121951219511,1.159362549800797,0.8625429553264604,24.029637098312378
1,"(37.80568383476944, -122.25476751037529)",170,201,205,805,0.9812204957359016,True,107.17436990613179,105.16168836947753,"01_Oakland, California, USA",drive,261,1.1823529411764706,1.2058823529411764,1.0199004975124377,0.9804878048780489,23.585006713867188
2,"(37.807481931575765, -122.28028026741039)",231,290,366,805,0.831537547071773,False,112.6204056919347,93.64809589929932,"02_Oakland, California, USA",drive,353,1.2554112554112553,1.5844155844155845,1.2620689655172415,0.7923497267759563,32.12300133705139
3,"(37.80936423077242, -122.2137352007491)",141,157,157,805,0.9999998859850374,True,144.18726186303599,144.18724542353073,"04_Oakland, California, USA",drive,225,1.1134751773049645,1.1134751773049645,1.0,1.0,16.023002862930298
4,"(37.737072168646584, -122.18838543235465)",139,159,177,805,0.92281866712755,False,132.83413584968218,122.58182019384363,"05_Oakland, California, USA",drive,226,1.143884892086331,1.2733812949640289,1.1132075471698113,0.8983050847457628,15.483001947402954
5,"(37.762566059604666, -122.19576775742118)",155,162,162,805,0.9999998727641889,True,130.03032391146155,130.03030736694782,"06_Oakland, California, USA",drive,230,1.0451612903225806,1.0451612903225806,1.0,1.0,14.888623476028442
6,"(37.79010362983847, -122.14281962104634)",27,29,29,805,0.9999998941750071,True,144.62646500092492,144.6264496958303,"08_Oakland, California, USA",drive,50,1.0740740740740742,1.0740740740740742,1.0,1.0,5.3521716594696045
7,"(37.789603298005176, -122.19585293975271)",198,228,249,805,0.9444442996825627,False,117.7352055663069,111.19434376905328,"09_Oakland, California, USA",drive,327,1.1515151515151516,1.2575757575757576,1.0921052631578947,0.9156626506024097,26.19164538383484
8,"(37.7774483726152, -122.1379777292247)",32,39,39,805,0.999999931512916,True,210.35535553649916,210.35534112987426,"11_Oakland, California, USA",drive,69,1.21875,1.21875,1.0,1.0,7.149156808853149
9,"(37.768626773289576, -122.14843451852614)",105,128,133,805,0.9632182840475314,False,158.98999787625348,153.14207293508554,"13_Oakland, California, USA",drive,175,1.2190476190476192,1.2666666666666666,1.0390625,0.9624060150375939,11.92128849029541
10,"(37.845379384153695, -122.22253536334318)",92,97,112,805,0.9042820399044486,True,206.75456778104964,186.96444231261015,"14_Oakland, California, USA",drive,165,1.0543478260869565,1.2173913043478262,1.1546391752577319,0.8660714285714286,16.327558279037476
11,"(37.81271345647203, -122.30143787614374)",105,116,129,805,0.9385244782179771,False,147.340704681608,138.2828579815752,"17_Oakland, California, USA",drive,171,1.1047619047619048,1.2285714285714286,1.1120689655172413,0.8992248062015504,13.119000673294067
12,"(37.820519564352274, -122.29501775947793)",95,105,137,805,0.8101851016953483,False,208.00431010890145,168.52199313865108,"20_Oakland, California, USA",drive,154,1.105263157894737,1.4421052631578948,1.3047619047619048,0.7664233576642335,11.818997383117676
13,"(37.84207588287393, -122.20634210112495)",86,90,90,805,0.9999999244057239,True,214.0180956404003,214.0180794618573,"21_Oakland, California, USA",drive,144,1.0465116279069768,1.0465116279069768,1.0,1.0,13.225998878479004
14,"(37.776226190486945, -122.20962887688405)",197,232,238,805,0.9780753671562205,False,115.97225220408359,113.42960315444286,"22_Oakland, California, USA",drive,296,1.1776649746192893,1.2081218274111676,1.0258620689655173,0.9747899159663864,22.539003372192383
15,"(37.728455696720275, -122.21604123541094)",6,11,11,805,0.9999999585660811,True,322.0332503875554,322.03323704445586,"23_Oakland, California, USA",drive,24,1.8333333333333333,1.8333333333333333,1.0,1.0,5.627179384231567
16,"(37.86633373924283, -122.22932579940657)",27,28,28,805,0.9999999495332337,True,287.3097790271909,287.30976452759546,"25_Oakland, California, USA",drive,57,1.037037037037037,1.037037037037037,1.0,1.0,9.85927700996399
17,"(37.77133965994652, -122.21011587272535)",183,216,222,805,0.9766535528392236,False,119.77186955966513,116.975621935643,"26_Oakland, California, USA",drive,286,1.180327868852459,1.2131147540983607,1.0277777777777777,0.972972972972973,23.52100110054016
18,"(37.85469528619798, -122.21549394166914)",43,52,68,805,0.7885462049968797,True,310.6490118635518,244.9610993910344,"28_Oakland, California, USA",drive,93,1.2093023255813953,1.5813953488372092,1.3076923076923077,0.7647058823529411,10.599751949310303
19,"(37.783885981498095, -122.23762743806236)",168,187,194,805,0.97189334496296,True,119.78372625647953,116.41700638353743,"29_Oakland, California, USA",drive,248,1.1130952380952381,1.1547619047619047,1.0374331550802138,0.9639175257731959,18.248002290725708
20,"(37.836602859002966, -122.2512743615366)",156,183,192,805,0.9542935015566805,True,125.39089419754968,119.65971548710293,"30_Oakland, California, USA",drive,255,1.1730769230769231,1.2307692307692308,1.0491803278688525,0.953125,19.206003665924072
21,"(37.78715679621951, -122.16582537743818)",32,38,42,805,0.9220778513502549,True,201.8250604880807,186.0984181234847,"32_Oakland, California, USA",drive,78,1.1875,1.3125,1.105263157894737,0.9047619047619047,8.562004089355469
22,"(37.842041685523846, -122.21001803400014)",75,76,76,805,0.9937694000606736,True,209.42804993116627,208.1231875359719,"33_Oakland, California, USA",drive,141,1.0133333333333334,1.0133333333333334,1.0,1.0,12.740998983383179
23,"(37.79121846499192, -122.21725541266086)",172,185,197,805,0.9647695082616696,True,116.60371273868428,112.49570660038542,"34_Oakland, California, USA",drive,288,1.0755813953488371,1.1453488372093024,1.0648648648648649,0.9390862944162437,17.88510775566101
24,"(37.74636113001155, -122.19408070656291)",61,66,84,805,0.835205912470252,False,195.48791419572208,163.2726617527444,"35_Oakland, California, USA",drive,113,1.0819672131147542,1.3770491803278688,1.2727272727272727,0.7857142857142857,9.380021095275879
25,"(37.74113965463024, -122.2058684511833)",34,39,39,805,0.9834710213021363,True,266.258815543429,261.85782925319324,"36_Oakland, California, USA",drive,67,1.1470588235294117,1.1470588235294117,1.0,1.0,6.33221435546875
26,"(37.83414188211168, -122.27306279685025)",190,232,296,805,0.8392281567673413,False,127.3165179294762,106.84760666799048,"37_Oakland, California, USA",drive,311,1.2210526315789474,1.5578947368421052,1.2758620689655173,0.7837837837837838,24.137113332748413
27,"(37.83528666112709, -122.22859147787851)",130,139,141,805,0.9878786726576373,True,144.33147793438178,142.58198884453213,"38_Oakland, California, USA",drive,197,1.0692307692307692,1.0846153846153845,1.014388489208633,0.9858156028368795,15.031997680664062
28,"(37.75011673008653, -122.2186673329201)",10,14,14,805,0.9999999570822702,True,296.55967448827596,296.559661760608,"39_Oakland, California, USA",drive,32,1.4,1.4,1.0,1.0,4.380001544952393
29,"(37.776388954631194, -122.18982952780523)",207,242,242,805,0.9999998425095772,True,111.74715956759698,111.74714196848957,"40_Oakland, California, USA",drive,307,1.1690821256038648,1.1690821256038648,1.0,1.0,22.38602328300476
30,"(37.71127461125554, -122.21296180464687)",13,16,20,805,0.8333332679878399,True,250.38837548259417,208.65696320707653,"41_Oakland, California, USA",drive,27,1.2307692307692308,1.5384615384615385,1.25,0.8,4.678981304168701
31,"(37.78833489126981, -122.2555745465154)",88,105,109,805,0.9730456995044394,True,137.2070319018745,133.50871233388742,"42_Oakland, California, USA",drive,154,1.1931818181818181,1.2386363636363635,1.0380952380952382,0.9633027522935779,10.311001062393188
32,"(37.79781563628687, -122.224660863251)",197,233,260,805,0.9184356052519979,False,115.24753711492156,105.84744150394506,"43_Oakland, California, USA",drive,326,1.1827411167512691,1.3197969543147208,1.1158798283261802,0.8961538461538462,20.359007120132446
33,"(37.82246925468525, -122.32101531481207)",7,7,7,805,0.821428556939109,True,843.0754024354326,692.526211213396,"44_Oakland, California, USA",drive,19,1.0,1.0,1.0,1.0,2.7570033073425293
