,city,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,country,distance,edge_length_ratio,geometry,is_planar,mean_edge_length,mean_planar_segment_length,network_type,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
0,Buenos Aires,216,227,227,Argentina,805,1.0,POINT (-58.375547 -34.608657),True,108.411,108.411,drive,271,1.051,1.051,1.0,1.0,21.86
1,Buenos Aires,300,662,705,Argentina,805,0.941,POINT (-58.375547 -34.608657),False,55.254,51.981,walk,868,2.207,2.35,1.065,0.939,99.85
2,Sydney,149,175,240,Australia,805,0.735,POINT (151.208977 -33.863616),False,153.885,113.137,drive,221,1.174,1.611,1.371,0.729,16.55
3,Sydney,499,815,904,Australia,805,0.884,POINT (151.208977 -33.863616),False,53.72,47.469,walk,1028,1.633,1.812,1.109,0.902,137.04
4,Sao Paulo,288,330,428,Brazil,805,0.772,POINT (-46.6336 -23.549155),False,112.605,86.892,drive,416,1.146,1.486,1.297,0.771,33.75
5,Sao Paulo,415,591,717,Brazil,805,0.803,POINT (-46.6336 -23.549155),False,76.464,61.39,walk,730,1.424,1.728,1.213,0.824,79.26
6,Toronto,203,214,232,Canada,805,0.946,POINT (-79.380838 43.649903),True,116.308,109.991,drive,271,1.054,1.143,1.084,0.922,23.65
7,Toronto,589,2809,3351,Canada,805,0.824,POINT (-79.380838 43.649903),False,33.68,27.768,walk,3337,4.769,5.689,1.193,0.838,1316.36
8,Vancouver,171,185,199,Canada,805,0.948,POINT (-123.121363 49.281651),False,133.086,126.213,drive,234,1.082,1.164,1.076,0.93,17.01
9,Vancouver,450,695,753,Canada,805,0.92,POINT (-123.121363 49.281651),False,67.345,61.953,walk,873,1.544,1.673,1.083,0.923,102.23
10,Santiago,211,226,259,Chile,805,0.885,POINT (-70.654296 -33.439754),False,120.28,106.41,drive,306,1.071,1.227,1.146,0.873,19.56
11,Santiago,368,463,479,Chile,805,0.965,POINT (-70.654296 -33.439754),False,74.812,72.173,walk,580,1.258,1.302,1.035,0.967,50.44
12,Beijing,69,121,148,China,805,0.846,POINT (116.465505 39.908427),False,169.612,143.446,drive,169,1.754,2.145,1.223,0.818,8.84
13,Beijing,113,197,234,China,805,0.842,POINT (116.465505 39.908427),False,117.532,98.987,walk,283,1.743,2.071,1.188,0.842,15.94
14,Shanghai,109,176,258,China,805,0.708,POINT (121.503787 31.236286),False,161.555,114.459,drive,215,1.615,2.367,1.466,0.682,14.07
15,Shanghai,192,330,500,China,805,0.641,POINT (121.503787 31.236286),False,104.403,66.969,walk,434,1.719,2.604,1.515,0.66,34.18
16,Hong Kong,264,346,413,China,805,0.823,POINT (114.156843 22.282321),False,95.681,78.741,drive,404,1.311,1.564,1.194,0.838,28.92
17,Hong Kong,587,1074,1305,China,805,0.794,POINT (114.156843 22.282321),False,51.195,40.659,walk,1315,1.83,2.223,1.215,0.823,191.71
18,Copenhagen,214,252,254,Denmark,805,0.988,POINT (12.578284 55.67944300000001),True,93.857,92.766,drive,331,1.178,1.187,1.008,0.992,22.3
19,Copenhagen,509,882,887,Denmark,805,0.985,POINT (12.578284 55.67944300000001),False,49.789,49.054,walk,1108,1.733,1.743,1.006,0.994,140.52
20,Cairo,280,313,349,Egypt,805,0.913,POINT (31.235725 30.044485),False,93.944,85.746,drive,378,1.118,1.246,1.115,0.897,22.84
21,Cairo,343,426,474,Egypt,805,0.886,POINT (31.235725 30.044485),False,82.804,73.363,walk,501,1.242,1.382,1.113,0.899,36.28
22,Lyon,345,422,424,France,805,0.991,POINT (4.833705 45.761016),False,67.283,66.7,drive,550,1.223,1.229,1.005,0.995,38.7
23,Lyon,550,904,944,France,805,0.953,POINT (4.833705 45.761016),False,47.67,45.429,walk,1247,1.644,1.716,1.044,0.958,153.26
24,Paris,288,334,340,France,805,0.987,POINT (2.352091 48.865579),False,83.296,82.22,drive,427,1.16,1.181,1.018,0.982,28.25
25,Paris,506,823,887,France,805,0.907,POINT (2.352091 48.865579),False,49.491,44.906,walk,1234,1.626,1.753,1.078,0.928,141.92
26,Berlin,146,184,196,Germany,805,0.945,POINT (13.412545 52.52188100000001),False,125.09,118.242,drive,245,1.26,1.342,1.065,0.939,16.15
27,Berlin,586,1276,1359,Germany,805,0.931,POINT (13.412545 52.52188100000001),False,40.157,37.387,walk,1650,2.177,2.319,1.065,0.939,262.3
28,Delhi,52,77,77,India,805,1.0,POINT (77.22993699999999 28.653108),True,183.33,183.33,drive,108,1.481,1.481,1.0,1.0,6.94
29,Delhi,203,298,299,India,805,0.989,POINT (77.22993699999999 28.653108),True,90.337,89.318,walk,377,1.468,1.473,1.003,0.997,23.76
30,Jakarta,254,302,305,Indonesia,805,0.994,POINT (106.822871 -6.194934),True,99.146,98.539,drive,376,1.189,1.201,1.01,0.99,24.57
