country,city,distance,network_type,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,edge_length_ratio,geometry,is_planar,mean_edge_length,mean_planar_segment_length,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
Argentina,Buenos Aires,805,drive,215,226,226,1.0,POINT (-58.375547 -34.608657),True,108.662,108.662,270,1.051,1.051,1.0,1.0,23.38
Australia,Sydney,805,drive,148,174,239,0.734,POINT (151.208977 -33.863616),False,153.329,112.538,220,1.176,1.615,1.374,0.728,16.65
Brazil,Sao Paulo,805,drive,285,327,425,0.77,POINT (-46.6336 -23.549155),False,113.115,87.139,412,1.147,1.491,1.3,0.769,32.31
Canada,Toronto,805,drive,203,214,232,0.946,POINT (-79.380838 43.649903),True,116.308,109.991,271,1.054,1.143,1.084,0.922,22.17
Canada,Vancouver,805,drive,171,185,199,0.948,POINT (-123.121363 49.281651),False,133.086,126.213,234,1.082,1.164,1.076,0.93,18.67
Chile,Santiago,805,drive,211,226,259,0.885,POINT (-70.654296 -33.439754),False,120.279,106.409,306,1.071,1.227,1.146,0.873,21.31
China,Beijing,805,drive,69,121,148,0.846,POINT (116.465505 39.908427),False,169.612,143.446,169,1.754,2.145,1.223,0.818,12.0
China,Shanghai,805,drive,109,176,258,0.708,POINT (121.503787 31.236286),False,161.555,114.459,215,1.615,2.367,1.466,0.682,15.96
China,Hong Kong,805,drive,261,343,410,0.822,POINT (114.156843 22.282321),False,95.943,78.852,401,1.314,1.571,1.195,0.837,31.55
Denmark,Copenhagen,805,drive,214,251,254,0.988,POINT (12.578284 55.67944300000001),True,93.857,92.766,331,1.173,1.187,1.012,0.988,25.62
Egypt,Cairo,805,drive,280,313,349,0.913,POINT (31.235725 30.044485),False,93.975,85.764,378,1.118,1.246,1.115,0.897,26.09
France,Lyon,805,drive,341,418,421,0.991,POINT (4.833705 45.761016),False,67.388,66.8,547,1.226,1.235,1.007,0.993,45.97
France,Paris,805,drive,288,334,340,0.987,POINT (2.352091 48.865579),False,83.308,82.234,427,1.16,1.181,1.018,0.982,33.56
Germany,Berlin,805,drive,146,184,196,0.945,POINT (13.412545 52.52188100000001),False,125.09,118.242,245,1.26,1.342,1.065,0.939,21.75
India,Delhi,805,drive,52,76,77,1.0,POINT (77.22993699999999 28.653108),True,183.33,183.33,108,1.462,1.481,1.013,0.987,8.16
Indonesia,Jakarta,805,drive,251,298,301,0.994,POINT (106.822871 -6.194934),True,98.296,97.687,374,1.187,1.199,1.01,0.99,28.05
Iran,Tehran,805,drive,447,604,629,0.973,POINT (51.383896 35.691883),False,60.936,59.309,918,1.351,1.407,1.041,0.96,73.68
Italy,Bologna,805,drive,304,366,367,1.0,POINT (11.342612 44.494856),True,76.012,76.012,475,1.204,1.207,1.003,0.997,32.59
Italy,Florence,805,drive,244,293,295,0.994,POINT (11.255328 43.772912),True,78.17,77.668,380,1.201,1.209,1.007,0.993,24.55
