country,city,distance,network_type,count_cleaned_intersections,count_nonplanar_intersections,count_planar_intersections,edge_length_ratio,geometry,is_planar,mean_edge_length,mean_planar_segment_length,nodes,overcount_nonplanar_cleaned,overcount_planar_cleaned,overcount_planar_nonplanar,phi,runtime
Argentina,Buenos Aires,805,walk,299,596,638,0.936,POINT (-58.375547 -34.608657),False,56.903,53.272,802,1.993,2.134,1.07,0.934,88.27
Australia,Sydney,805,walk,492,805,894,0.884,POINT (151.208977 -33.863616),False,53.84,47.587,1026,1.636,1.817,1.111,0.9,126.67
Brazil,Sao Paulo,805,walk,410,578,691,0.816,POINT (-46.6336 -23.549155),False,72.087,58.817,716,1.41,1.685,1.196,0.836,72.06
Canada,Toronto,805,walk,589,2807,3349,0.825,POINT (-79.380838 43.649903),False,33.672,27.767,3334,4.766,5.686,1.193,0.838,1336.43
Canada,Vancouver,805,walk,449,693,751,0.92,POINT (-123.121363 49.281651),False,67.457,62.046,871,1.543,1.673,1.084,0.923,104.9
Chile,Santiago,805,walk,367,462,479,0.965,POINT (-70.654296 -33.439754),False,74.813,72.174,580,1.259,1.305,1.037,0.965,53.87
China,Beijing,805,walk,113,197,234,0.842,POINT (116.465505 39.908427),False,117.532,98.987,283,1.743,2.071,1.188,0.842,17.87
China,Shanghai,805,walk,192,330,500,0.641,POINT (121.503787 31.236286),False,104.403,66.969,434,1.719,2.604,1.515,0.66,36.23
China,Hong Kong,805,walk,582,1066,1297,0.794,POINT (114.156843 22.282321),False,51.297,40.716,1308,1.832,2.229,1.217,0.822,203.58
Denmark,Copenhagen,805,walk,504,857,867,0.985,POINT (12.578284 55.67944300000001),False,50.131,49.377,1090,1.7,1.72,1.012,0.988,145.64
Egypt,Cairo,805,walk,341,424,472,0.886,POINT (31.235725 30.044485),False,82.986,73.49,499,1.243,1.384,1.113,0.898,40.26
France,Lyon,805,walk,533,869,909,0.952,POINT (4.833705 45.761016),False,48.213,45.918,1218,1.63,1.705,1.046,0.956,159.08
France,Paris,805,walk,509,764,826,0.903,POINT (2.352091 48.865579),False,50.669,45.746,1178,1.501,1.623,1.081,0.925,137.31
Germany,Berlin,805,walk,586,1272,1357,0.931,POINT (13.412545 52.52188100000001),False,40.177,37.402,1648,2.171,2.316,1.067,0.937,284.95
India,Delhi,805,walk,203,297,299,0.989,POINT (77.22993699999999 28.653108),True,90.337,89.318,377,1.463,1.473,1.007,0.993,26.42
Indonesia,Jakarta,805,walk,337,450,458,0.981,POINT (106.822871 -6.194934),False,81.352,79.809,545,1.335,1.359,1.018,0.983,50.73
Iran,Tehran,805,walk,606,882,923,0.955,POINT (51.383896 35.691883),False,48.843,46.66,1487,1.455,1.523,1.046,0.956,153.7
Italy,Bologna,805,walk,449,987,992,0.996,POINT (11.342612 44.494856),True,48.691,48.479,1255,2.198,2.209,1.005,0.995,174.46
Italy,Florence,805,walk,452,659,674,0.974,POINT (11.255328 43.772912),False,55.045,53.62,874,1.458,1.491,1.023,0.978,89.94
